ZIP,LAT,LNG
43605,41.6480257,-83.5068635
43606,41.6731356,-83.6114138
43607,41.648634,-83.6041323
41274,37.8641597,-82.8107046
41301,37.728702,-83.4923175
41311,37.5832201,-83.7107106
41314,37.4255812,-83.6402073
41317,37.4456753,-83.1531931
41332,37.8007491,-83.3892236
41339,37.506632,-83.2830396
41348,37.4093845,-83.3010265
41352,37.8229315,-83.3302902
41360,37.8013881,-83.6146108
41365,37.706784,-83.6288725
41366,37.5950314,-83.2177795
41367,37.415013,-83.2278166
41385,37.6637975,-83.3147697
73165,35.3554351,-97.3652150
72002,34.6607945,-92.5275121
73169,35.3827701,-97.6426010
72003,34.3825286,-91.3902612
84405,41.1567963,-111.9657986
73170,35.3255738,-97.5524646
73173,35.3408054,-97.6274914
73179,35.4283911,-97.6408428
72004,34.2827855,-91.7793099
72005,35.5371888,-91.0704270
84414,41.3219643,-111.9761331
72006,35.243873,-91.3595830
72007,35.0019031,-91.9831768
84501,39.5464271,-110.7575960
72010,35.3201947,-91.5376181
84511,37.5858447,-109.4077997
72011,34.5006233,-92.4658852
84512,37.0941073,-109.6181816
72012,35.0948093,-91.9075309
84513,39.2376742,-111.0144726
73401,34.2032886,-97.1155201
73425,34.455104,-97.5584167
84515,38.9748242,-109.1304186
84516,39.1429866,-111.0688441
72013,35.4553443,-92.3684721
94542,37.6598876,-122.0371583
94544,37.6338216,-122.0572015
94545,37.6059048,-122.1268730
94546,37.7172764,-122.0819576
94547,38.0101662,-122.2617283
94548,37.9742947,-121.6514409
94549,37.8970087,-122.1142919
94550,37.5199829,-121.5755948
94551,37.7504663,-121.7492022
94552,37.7227186,-122.0215561
